key,n_instr,instr,cosine,rel_norm_err,r2_like
1512,2,detectable_content:number_placeholders|punctuation:no_comma,-0.1569917274074309,0.36338616917061917,-2.286901867808891
2303,2,length_constraints:number_sentences|startend:quotation,0.6917225052969238,0.1187305645933347,0.44255186114283596
1132,2,change_case:english_capital|keywords:forbidden_words,0.6653634544103649,0.08260434296638072,0.3791882135724849
3494,2,detectable_content:number_placeholders|language:response_language,0.5980196984726154,0.11589150837547411,0.2757808127067597
2230,2,detectable_format:number_highlighted_sections|punctuation:no_comma,0.5593854112121681,0.09043834954645,0.19028856234741998
3456,2,change_case:english_capital|detectable_format:number_highlighted_sections,0.1085128506137064,0.4263786008957946,-1.7249948273865767
1928,3,detectable_format:title|keywords:frequency|punctuation:no_comma,0.45041942628034737,0.3124217643304486,-0.5401706121761749
1348,2,detectable_format:number_highlighted_sections|punctuation:no_comma,0.12117844114234601,1.0194218018928347,-3.5886441266268854
2041,2,keywords:forbidden_words|length_constraints:number_sentences,0.25221682014854097,0.27946148947292193,-0.9916185697717999
2704,2,detectable_format:title|punctuation:no_comma,0.6237975542582699,0.07846447462946987,0.3004754871367359
3345,3,detectable_format:number_bullet_lists|keywords:forbidden_words|keywords:frequency,0.524386181069553,0.49758893452656955,-0.6721428502252527
1825,2,detectable_content:postscript|punctuation:no_comma,0.24959670622009583,0.3557646141924123,-1.1613092700603382
2305,2,combination:repeat_prompt|detectable_format:title,0.5696742007280589,0.10562804860915419,0.03728200853508956
2571,3,change_case:english_capital|length_constraints:number_sentences|punctuation:no_comma,0.5679043839802316,0.19195560020906363,-0.06692443521833424
2284,3,detectable_content:number_placeholders|detectable_format:number_bullet_lists|length_constraints:number_words,0.6679316524916579,0.14383047720122116,0.4106993177501179
2853,2,change_case:capital_word_frequency|detectable_format:title,0.7662016982702033,0.053528825582452255,0.504508123982651
340,2,detectable_format:number_highlighted_sections|length_constraints:number_words,0.6071018864371543,0.2398535336183679,0.34514993167139885
2596,2,language:response_language|punctuation:no_comma,0.5547281995351863,0.151854375271503,-0.04883623460908515
3362,2,keywords:forbidden_words|length_constraints:number_sentences,0.5648937856917727,0.08757214334369734,0.045912331808121265
1897,2,detectable_format:number_highlighted_sections|punctuation:no_comma,0.5792983227891452,0.14169895798057405,0.2577440294005957
218,2,change_case:english_lowercase|detectable_content:number_placeholders,0.4224641855633942,0.8117241343850338,-1.7515668164480944
2275,3,change_case:capital_word_frequency|keywords:frequency|punctuation:no_comma,0.4324044905346842,0.6587236226888945,-1.3168850667374037
1670,3,change_case:capital_word_frequency|length_constraints:number_paragraphs|startend:quotation,0.677231424375555,0.15129829831168082,0.23390284778273385
3442,2,detectable_format:title|length_constraints:number_words,0.6636434259250502,0.20205890893025513,0.4223867344437501
1883,2,keywords:letter_frequency|length_constraints:number_paragraphs,0.6547251235162913,0.16945462187602678,0.39775225026994265
1153,2,change_case:english_lowercase|keywords:frequency,0.7890690161141538,0.08984910619807457,0.6079691660178803
3350,2,detectable_content:number_placeholders|punctuation:no_comma,0.3106281942474841,0.08155083748231376,-0.4978318777370907
